"","X","t","n"
"20547",20547,"2009-06-06 18:00:00",53
"20548",20548,"2009-06-06 19:00:00",56
"20549",20549,"2009-06-06 20:00:00",58
"20550",20550,"2009-06-06 21:00:00",47
"20551",20551,"2009-06-06 22:00:00",51
"20552",20552,"2009-06-06 23:00:00",46
"20553",20553,"2009-06-07 00:00:00",102
"20554",20554,"2009-06-07 01:00:00",19
"20555",20555,"2009-06-07 02:00:00",10
"20556",20556,"2009-06-07 03:00:00",17
"20557",20557,"2009-06-07 04:00:00",7
"20558",20558,"2009-06-07 05:00:00",10
"20559",20559,"2009-06-07 06:00:00",9
"20560",20560,"2009-06-07 07:00:00",31
"20561",20561,"2009-06-07 08:00:00",18
"20562",20562,"2009-06-07 09:00:00",37
"20563",20563,"2009-06-07 10:00:00",43
"20564",20564,"2009-06-07 11:00:00",48
"20565",20565,"2009-06-07 12:00:00",45
"20566",20566,"2009-06-07 13:00:00",87
"20567",20567,"2009-06-07 14:00:00",61
"20568",20568,"2009-06-07 15:00:00",55
"20569",20569,"2009-06-07 16:00:00",80
"20570",20570,"2009-06-07 17:00:00",66
"20571",20571,"2009-06-07 18:00:00",72
"20572",20572,"2009-06-07 19:00:00",69
"20573",20573,"2009-06-07 20:00:00",67
"20574",20574,"2009-06-07 21:00:00",81
"20575",20575,"2009-06-07 22:00:00",58
"20576",20576,"2009-06-07 23:00:00",53
"20577",20577,"2009-06-08 00:00:00",107
"20578",20578,"2009-06-08 01:00:00",21
"20579",20579,"2009-06-08 02:00:00",18
"20580",20580,"2009-06-08 03:00:00",14
"20581",20581,"2009-06-08 04:00:00",5
"20582",20582,"2009-06-08 05:00:00",7
"20583",20583,"2009-06-08 06:00:00",13
"20584",20584,"2009-06-08 07:00:00",29
"20585",20585,"2009-06-08 08:00:00",51
"20586",20586,"2009-06-08 09:00:00",54
"20587",20587,"2009-06-08 10:00:00",80
"20588",20588,"2009-06-08 11:00:00",96
"20589",20589,"2009-06-08 12:00:00",95
"20590",20590,"2009-06-08 13:00:00",76
"20591",20591,"2009-06-08 14:00:00",81
"20592",20592,"2009-06-08 15:00:00",80
"20593",20593,"2009-06-08 16:00:00",71
"20594",20594,"2009-06-08 17:00:00",79
"20595",20595,"2009-06-08 18:00:00",74
"20596",20596,"2009-06-08 19:00:00",58
"20597",20597,"2009-06-08 20:00:00",50
"20598",20598,"2009-06-08 21:00:00",63
"20599",20599,"2009-06-08 22:00:00",87
"20600",20600,"2009-06-08 23:00:00",50
"20601",20601,"2009-06-09 00:00:00",150
"20602",20602,"2009-06-09 01:00:00",21
"20603",20603,"2009-06-09 02:00:00",17
"20604",20604,"2009-06-09 03:00:00",16
"20605",20605,"2009-06-09 04:00:00",9
"20606",20606,"2009-06-09 05:00:00",16
"20607",20607,"2009-06-09 06:00:00",32
"20608",20608,"2009-06-09 07:00:00",29
"20609",20609,"2009-06-09 08:00:00",59
"20610",20610,"2009-06-09 09:00:00",66
"20611",20611,"2009-06-09 10:00:00",111
"20612",20612,"2009-06-09 11:00:00",104
"20613",20613,"2009-06-09 12:00:00",103
"20614",20614,"2009-06-09 13:00:00",100
"20615",20615,"2009-06-09 14:00:00",92
"20616",20616,"2009-06-09 15:00:00",98
"20617",20617,"2009-06-09 16:00:00",108
"20618",20618,"2009-06-09 17:00:00",80
"20619",20619,"2009-06-09 18:00:00",100
"20620",20620,"2009-06-09 19:00:00",89
"20621",20621,"2009-06-09 20:00:00",63
"20622",20622,"2009-06-09 21:00:00",101
"20623",20623,"2009-06-09 22:00:00",101
"20624",20624,"2009-06-09 23:00:00",77
"20625",20625,"2009-06-10 00:00:00",215
"20626",20626,"2009-06-10 01:00:00",46
"20627",20627,"2009-06-10 02:00:00",9
"20628",20628,"2009-06-10 03:00:00",8
"20629",20629,"2009-06-10 04:00:00",14
"20630",20630,"2009-06-10 05:00:00",19
"20631",20631,"2009-06-10 06:00:00",30
"20632",20632,"2009-06-10 07:00:00",48
"20633",20633,"2009-06-10 08:00:00",61
"20634",20634,"2009-06-10 09:00:00",67
"20635",20635,"2009-06-10 10:00:00",85
"20636",20636,"2009-06-10 11:00:00",94
"20637",20637,"2009-06-10 12:00:00",84
"20638",20638,"2009-06-10 13:00:00",113
"20639",20639,"2009-06-10 14:00:00",99
"20640",20640,"2009-06-10 15:00:00",124
"20641",20641,"2009-06-10 16:00:00",91
"20642",20642,"2009-06-10 17:00:00",95
"20643",20643,"2009-06-10 18:00:00",59
"20644",20644,"2009-06-10 19:00:00",57
"20645",20645,"2009-06-10 20:00:00",72
"20646",20646,"2009-06-10 21:00:00",86
"20647",20647,"2009-06-10 22:00:00",61
"20648",20648,"2009-06-10 23:00:00",66
"20649",20649,"2009-06-11 00:00:00",260
"20650",20650,"2009-06-11 01:00:00",27
"20651",20651,"2009-06-11 02:00:00",20
"20652",20652,"2009-06-11 03:00:00",18
"20653",20653,"2009-06-11 04:00:00",10
"20654",20654,"2009-06-11 05:00:00",14
"20655",20655,"2009-06-11 06:00:00",27
"20656",20656,"2009-06-11 07:00:00",52
"20657",20657,"2009-06-11 08:00:00",76
"20658",20658,"2009-06-11 09:00:00",73
"20659",20659,"2009-06-11 10:00:00",100
"20660",20660,"2009-06-11 11:00:00",78
"20661",20661,"2009-06-11 12:00:00",89
"20662",20662,"2009-06-11 13:00:00",82
"20663",20663,"2009-06-11 14:00:00",100
"20664",20664,"2009-06-11 15:00:00",94
"20665",20665,"2009-06-11 16:00:00",84
"20666",20666,"2009-06-11 17:00:00",100
"20667",20667,"2009-06-11 18:00:00",111
"20668",20668,"2009-06-11 19:00:00",112
"20669",20669,"2009-06-11 20:00:00",87
"20670",20670,"2009-06-11 21:00:00",100
"20671",20671,"2009-06-11 22:00:00",98
"20672",20672,"2009-06-11 23:00:00",74
"20673",20673,"2009-06-12 00:00:00",181
"20674",20674,"2009-06-12 01:00:00",36
"20675",20675,"2009-06-12 02:00:00",13
"20676",20676,"2009-06-12 03:00:00",17
"20677",20677,"2009-06-12 04:00:00",12
"20678",20678,"2009-06-12 05:00:00",21
"20679",20679,"2009-06-12 06:00:00",21
"20680",20680,"2009-06-12 07:00:00",35
"20681",20681,"2009-06-12 08:00:00",95
"20682",20682,"2009-06-12 09:00:00",72
"20683",20683,"2009-06-12 10:00:00",125
"20684",20684,"2009-06-12 11:00:00",96
"20685",20685,"2009-06-12 12:00:00",116
"20686",20686,"2009-06-12 13:00:00",106
"20687",20687,"2009-06-12 14:00:00",107
"20688",20688,"2009-06-12 15:00:00",121
"20689",20689,"2009-06-12 16:00:00",101
"20690",20690,"2009-06-12 17:00:00",87
"20691",20691,"2009-06-12 18:00:00",87
"20692",20692,"2009-06-12 19:00:00",85
"20693",20693,"2009-06-12 20:00:00",79
"20694",20694,"2009-06-12 21:00:00",87
"20695",20695,"2009-06-12 22:00:00",66
"20696",20696,"2009-06-12 23:00:00",72
"20697",20697,"2009-06-13 00:00:00",127
"20698",20698,"2009-06-13 01:00:00",63
"20699",20699,"2009-06-13 02:00:00",24
"20700",20700,"2009-06-13 03:00:00",26
"20701",20701,"2009-06-13 04:00:00",9
"20702",20702,"2009-06-13 05:00:00",28
"20703",20703,"2009-06-13 06:00:00",5
"20704",20704,"2009-06-13 07:00:00",24
"20705",20705,"2009-06-13 08:00:00",32
"20706",20706,"2009-06-13 09:00:00",64
"20707",20707,"2009-06-13 10:00:00",58
"20708",20708,"2009-06-13 11:00:00",65
"20709",20709,"2009-06-13 12:00:00",79
"20710",20710,"2009-06-13 13:00:00",74
"20711",20711,"2009-06-13 14:00:00",71
"20712",20712,"2009-06-13 15:00:00",57
"20713",20713,"2009-06-13 16:00:00",50
"20714",20714,"2009-06-13 17:00:00",53
"20715",20715,"2009-06-13 18:00:00",79
"20716",20716,"2009-06-13 19:00:00",49
"20717",20717,"2009-06-13 20:00:00",51
"20718",20718,"2009-06-13 21:00:00",72
"20719",20719,"2009-06-13 22:00:00",63
"20720",20720,"2009-06-13 23:00:00",47
"20721",20721,"2009-06-14 00:00:00",144
"20722",20722,"2009-06-14 01:00:00",27
"20723",20723,"2009-06-14 02:00:00",15
"20724",20724,"2009-06-14 03:00:00",19
"20725",20725,"2009-06-14 04:00:00",15
"20726",20726,"2009-06-14 05:00:00",18
"20727",20727,"2009-06-14 06:00:00",9
"20728",20728,"2009-06-14 07:00:00",17
"20729",20729,"2009-06-14 08:00:00",28
"20730",20730,"2009-06-14 09:00:00",48
"20731",20731,"2009-06-14 10:00:00",46
"20732",20732,"2009-06-14 11:00:00",79
"20733",20733,"2009-06-14 12:00:00",59
"20734",20734,"2009-06-14 13:00:00",83
"20735",20735,"2009-06-14 14:00:00",75
"20736",20736,"2009-06-14 15:00:00",56
"20737",20737,"2009-06-14 16:00:00",62
"20738",20738,"2009-06-14 17:00:00",80
"20739",20739,"2009-06-14 18:00:00",76
"20740",20740,"2009-06-14 19:00:00",88
"20741",20741,"2009-06-14 20:00:00",74
"20742",20742,"2009-06-14 21:00:00",100
"20743",20743,"2009-06-14 22:00:00",76
"20744",20744,"2009-06-14 23:00:00",66
"20745",20745,"2009-06-15 00:00:00",165
"20746",20746,"2009-06-15 01:00:00",25
"20747",20747,"2009-06-15 02:00:00",22
"20748",20748,"2009-06-15 03:00:00",14
"20749",20749,"2009-06-15 04:00:00",19
"20750",20750,"2009-06-15 05:00:00",13
"20751",20751,"2009-06-15 06:00:00",26
"20752",20752,"2009-06-15 07:00:00",41
"20753",20753,"2009-06-15 08:00:00",59
"20754",20754,"2009-06-15 09:00:00",78
"20755",20755,"2009-06-15 10:00:00",86
"20756",20756,"2009-06-15 11:00:00",83
"20757",20757,"2009-06-15 12:00:00",107
"20758",20758,"2009-06-15 13:00:00",92
"20759",20759,"2009-06-15 14:00:00",66
"20760",20760,"2009-06-15 15:00:00",99
"20761",20761,"2009-06-15 16:00:00",99
"20762",20762,"2009-06-15 17:00:00",80
"20763",20763,"2009-06-15 18:00:00",75
"20764",20764,"2009-06-15 19:00:00",68
"20765",20765,"2009-06-15 20:00:00",108
"20766",20766,"2009-06-15 21:00:00",103
"20767",20767,"2009-06-15 22:00:00",67
"20768",20768,"2009-06-15 23:00:00",74
"20769",20769,"2009-06-16 00:00:00",143
"20770",20770,"2009-06-16 01:00:00",33
"20771",20771,"2009-06-16 02:00:00",23
"20772",20772,"2009-06-16 03:00:00",13
"20773",20773,"2009-06-16 04:00:00",18
"20774",20774,"2009-06-16 05:00:00",19
"20775",20775,"2009-06-16 06:00:00",26
"20776",20776,"2009-06-16 07:00:00",43
"20777",20777,"2009-06-16 08:00:00",73
"20778",20778,"2009-06-16 09:00:00",89
"20779",20779,"2009-06-16 10:00:00",84
"20780",20780,"2009-06-16 11:00:00",115
"20781",20781,"2009-06-16 12:00:00",100
"20782",20782,"2009-06-16 13:00:00",87
"20783",20783,"2009-06-16 14:00:00",104
"20784",20784,"2009-06-16 15:00:00",103
"20785",20785,"2009-06-16 16:00:00",16
"20786",20786,"2009-06-16 17:00:00",91
"20787",20787,"2009-06-16 18:00:00",83
"20788",20788,"2009-06-16 19:00:00",85
"20789",20789,"2009-06-16 20:00:00",82
"20790",20790,"2009-06-16 21:00:00",142
"20791",20791,"2009-06-16 22:00:00",114
"20792",20792,"2009-06-16 23:00:00",95
"20793",20793,"2009-06-17 00:00:00",170
"20794",20794,"2009-06-17 01:00:00",55
"20795",20795,"2009-06-17 02:00:00",30
"20796",20796,"2009-06-17 03:00:00",8
"20797",20797,"2009-06-17 04:00:00",17
"20798",20798,"2009-06-17 05:00:00",10
"20799",20799,"2009-06-17 06:00:00",29
"20800",20800,"2009-06-17 07:00:00",47
"20801",20801,"2009-06-17 08:00:00",90
"20802",20802,"2009-06-17 09:00:00",108
"20803",20803,"2009-06-17 10:00:00",114
"20804",20804,"2009-06-17 11:00:00",119
"20805",20805,"2009-06-17 12:00:00",112
"20806",20806,"2009-06-17 13:00:00",131
"20807",20807,"2009-06-17 14:00:00",133
"20808",20808,"2009-06-17 15:00:00",105
"20809",20809,"2009-06-17 16:00:00",116
"20810",20810,"2009-06-17 17:00:00",86
"20811",20811,"2009-06-17 18:00:00",112
"20812",20812,"2009-06-17 19:00:00",79
"20813",20813,"2009-06-17 20:00:00",99
"20814",20814,"2009-06-17 21:00:00",75
"20815",20815,"2009-06-17 22:00:00",75
"20816",20816,"2009-06-17 23:00:00",56
"20817",20817,"2009-06-18 00:00:00",157
"20818",20818,"2009-06-18 01:00:00",30
"20819",20819,"2009-06-18 02:00:00",19
"20820",20820,"2009-06-18 03:00:00",24
"20821",20821,"2009-06-18 04:00:00",16
"20822",20822,"2009-06-18 05:00:00",28
"20823",20823,"2009-06-18 06:00:00",41
"20824",20824,"2009-06-18 07:00:00",54
"20825",20825,"2009-06-18 08:00:00",63
"20826",20826,"2009-06-18 09:00:00",95
"20827",20827,"2009-06-18 10:00:00",106
"20828",20828,"2009-06-18 11:00:00",116
"20829",20829,"2009-06-18 12:00:00",101
"20830",20830,"2009-06-18 13:00:00",129
"20831",20831,"2009-06-18 14:00:00",127
"20832",20832,"2009-06-18 15:00:00",98
"20833",20833,"2009-06-18 16:00:00",125
"20834",20834,"2009-06-18 17:00:00",122
"20835",20835,"2009-06-18 18:00:00",92
"20836",20836,"2009-06-18 19:00:00",86
