"","X","t","n"
"21267",21267,"2009-07-06 18:00:00",97
"21268",21268,"2009-07-06 19:00:00",85
"21269",21269,"2009-07-06 20:00:00",128
"21270",21270,"2009-07-06 21:00:00",125
"21271",21271,"2009-07-06 22:00:00",130
"21272",21272,"2009-07-06 23:00:00",97
"21273",21273,"2009-07-07 00:00:00",437
"21274",21274,"2009-07-07 01:00:00",46
"21275",21275,"2009-07-07 02:00:00",46
"21276",21276,"2009-07-07 03:00:00",15
"21277",21277,"2009-07-07 04:00:00",29
"21278",21278,"2009-07-07 05:00:00",32
"21279",21279,"2009-07-07 06:00:00",38
"21280",21280,"2009-07-07 07:00:00",67
"21281",21281,"2009-07-07 08:00:00",83
"21282",21282,"2009-07-07 09:00:00",125
"21283",21283,"2009-07-07 10:00:00",127
"21284",21284,"2009-07-07 11:00:00",148
"21285",21285,"2009-07-07 12:00:00",202
"21286",21286,"2009-07-07 13:00:00",264
"21287",21287,"2009-07-07 14:00:00",244
"21288",21288,"2009-07-07 15:00:00",129
"21289",21289,"2009-07-07 16:00:00",155
"21290",21290,"2009-07-07 17:00:00",169
"21291",21291,"2009-07-07 18:00:00",122
"21292",21292,"2009-07-07 19:00:00",149
"21293",21293,"2009-07-07 20:00:00",128
"21294",21294,"2009-07-07 21:00:00",148
"21295",21295,"2009-07-07 22:00:00",138
"21296",21296,"2009-07-07 23:00:00",145
"21297",21297,"2009-07-08 00:00:00",409
"21298",21298,"2009-07-08 01:00:00",76
"21299",21299,"2009-07-08 02:00:00",37
"21300",21300,"2009-07-08 03:00:00",15
"21301",21301,"2009-07-08 04:00:00",32
"21302",21302,"2009-07-08 05:00:00",26
"21303",21303,"2009-07-08 06:00:00",35
"21304",21304,"2009-07-08 07:00:00",85
"21305",21305,"2009-07-08 08:00:00",80
"21306",21306,"2009-07-08 09:00:00",147
"21307",21307,"2009-07-08 10:00:00",129
"21308",21308,"2009-07-08 11:00:00",139
"21309",21309,"2009-07-08 12:00:00",136
"21310",21310,"2009-07-08 13:00:00",139
"21311",21311,"2009-07-08 14:00:00",147
"21312",21312,"2009-07-08 15:00:00",132
"21313",21313,"2009-07-08 16:00:00",143
"21314",21314,"2009-07-08 17:00:00",111
"21315",21315,"2009-07-08 18:00:00",150
"21316",21316,"2009-07-08 19:00:00",111
"21317",21317,"2009-07-08 20:00:00",105
"21318",21318,"2009-07-08 21:00:00",119
"21319",21319,"2009-07-08 22:00:00",158
"21320",21320,"2009-07-08 23:00:00",130
"21321",21321,"2009-07-09 00:00:00",389
"21322",21322,"2009-07-09 01:00:00",91
"21323",21323,"2009-07-09 02:00:00",56
"21324",21324,"2009-07-09 03:00:00",25
"21325",21325,"2009-07-09 04:00:00",19
"21326",21326,"2009-07-09 05:00:00",30
"21327",21327,"2009-07-09 06:00:00",41
"21328",21328,"2009-07-09 07:00:00",53
"21329",21329,"2009-07-09 08:00:00",90
"21330",21330,"2009-07-09 09:00:00",109
"21331",21331,"2009-07-09 10:00:00",126
"21332",21332,"2009-07-09 11:00:00",147
"21333",21333,"2009-07-09 12:00:00",165
"21334",21334,"2009-07-09 13:00:00",165
"21335",21335,"2009-07-09 14:00:00",146
"21336",21336,"2009-07-09 15:00:00",161
"21337",21337,"2009-07-09 16:00:00",154
"21338",21338,"2009-07-09 17:00:00",187
"21339",21339,"2009-07-09 18:00:00",149
"21340",21340,"2009-07-09 19:00:00",135
"21341",21341,"2009-07-09 20:00:00",118
"21342",21342,"2009-07-09 21:00:00",125
"21343",21343,"2009-07-09 22:00:00",131
"21344",21344,"2009-07-09 23:00:00",123
"21345",21345,"2009-07-10 00:00:00",413
"21346",21346,"2009-07-10 01:00:00",73
"21347",21347,"2009-07-10 02:00:00",32
"21348",21348,"2009-07-10 03:00:00",33
"21349",21349,"2009-07-10 04:00:00",29
"21350",21350,"2009-07-10 05:00:00",21
"21351",21351,"2009-07-10 06:00:00",34
"21352",21352,"2009-07-10 07:00:00",70
"21353",21353,"2009-07-10 08:00:00",111
"21354",21354,"2009-07-10 09:00:00",136
"21355",21355,"2009-07-10 10:00:00",116
"21356",21356,"2009-07-10 11:00:00",117
"21357",21357,"2009-07-10 12:00:00",160
"21358",21358,"2009-07-10 13:00:00",145
"21359",21359,"2009-07-10 14:00:00",167
"21360",21360,"2009-07-10 15:00:00",140
"21361",21361,"2009-07-10 16:00:00",153
"21362",21362,"2009-07-10 17:00:00",162
"21363",21363,"2009-07-10 18:00:00",125
"21364",21364,"2009-07-10 19:00:00",153
"21365",21365,"2009-07-10 20:00:00",104
"21366",21366,"2009-07-10 21:00:00",118
"21367",21367,"2009-07-10 22:00:00",107
"21368",21368,"2009-07-10 23:00:00",126
"21369",21369,"2009-07-11 00:00:00",294
"21370",21370,"2009-07-11 01:00:00",94
"21371",21371,"2009-07-11 02:00:00",66
"21372",21372,"2009-07-11 03:00:00",62
"21373",21373,"2009-07-11 04:00:00",22
"21374",21374,"2009-07-11 05:00:00",10
"21375",21375,"2009-07-11 06:00:00",26
"21376",21376,"2009-07-11 07:00:00",24
"21377",21377,"2009-07-11 08:00:00",53
"21378",21378,"2009-07-11 09:00:00",65
"21379",21379,"2009-07-11 10:00:00",92
"21380",21380,"2009-07-11 11:00:00",80
"21381",21381,"2009-07-11 12:00:00",92
"21382",21382,"2009-07-11 13:00:00",112
"21383",21383,"2009-07-11 14:00:00",110
"21384",21384,"2009-07-11 15:00:00",110
"21385",21385,"2009-07-11 16:00:00",106
"21386",21386,"2009-07-11 17:00:00",92
"21387",21387,"2009-07-11 18:00:00",100
"21388",21388,"2009-07-11 19:00:00",103
"21389",21389,"2009-07-11 20:00:00",108
"21390",21390,"2009-07-11 21:00:00",119
"21391",21391,"2009-07-11 22:00:00",114
"21392",21392,"2009-07-11 23:00:00",145
"21393",21393,"2009-07-12 00:00:00",251
"21394",21394,"2009-07-12 01:00:00",99
"21395",21395,"2009-07-12 02:00:00",62
"21396",21396,"2009-07-12 03:00:00",42
"21397",21397,"2009-07-12 04:00:00",23
"21398",21398,"2009-07-12 05:00:00",19
"21399",21399,"2009-07-12 06:00:00",17
"21400",21400,"2009-07-12 07:00:00",32
"21401",21401,"2009-07-12 08:00:00",34
"21402",21402,"2009-07-12 09:00:00",60
"21403",21403,"2009-07-12 10:00:00",72
"21404",21404,"2009-07-12 11:00:00",80
"21405",21405,"2009-07-12 12:00:00",83
"21406",21406,"2009-07-12 13:00:00",82
"21407",21407,"2009-07-12 14:00:00",115
"21408",21408,"2009-07-12 15:00:00",119
"21409",21409,"2009-07-12 16:00:00",121
"21410",21410,"2009-07-12 17:00:00",113
"21411",21411,"2009-07-12 18:00:00",118
"21412",21412,"2009-07-12 19:00:00",94
"21413",21413,"2009-07-12 20:00:00",122
"21414",21414,"2009-07-12 21:00:00",170
"21415",21415,"2009-07-12 22:00:00",115
"21416",21416,"2009-07-12 23:00:00",99
"21417",21417,"2009-07-13 00:00:00",283
"21418",21418,"2009-07-13 01:00:00",82
"21419",21419,"2009-07-13 02:00:00",53
"21420",21420,"2009-07-13 03:00:00",28
"21421",21421,"2009-07-13 04:00:00",12
"21422",21422,"2009-07-13 05:00:00",16
"21423",21423,"2009-07-13 06:00:00",27
"21424",21424,"2009-07-13 07:00:00",67
"21425",21425,"2009-07-13 08:00:00",92
"21426",21426,"2009-07-13 09:00:00",118
"21427",21427,"2009-07-13 10:00:00",174
"21428",21428,"2009-07-13 11:00:00",154
"21429",21429,"2009-07-13 12:00:00",150
"21430",21430,"2009-07-13 13:00:00",189
"21431",21431,"2009-07-13 14:00:00",139
"21432",21432,"2009-07-13 15:00:00",138
"21433",21433,"2009-07-13 16:00:00",151
"21434",21434,"2009-07-13 17:00:00",163
"21435",21435,"2009-07-13 18:00:00",144
"21436",21436,"2009-07-13 19:00:00",142
"21437",21437,"2009-07-13 20:00:00",170
"21438",21438,"2009-07-13 21:00:00",157
"21439",21439,"2009-07-13 22:00:00",125
"21440",21440,"2009-07-13 23:00:00",144
"21441",21441,"2009-07-14 00:00:00",347
"21442",21442,"2009-07-14 01:00:00",82
"21443",21443,"2009-07-14 02:00:00",49
"21444",21444,"2009-07-14 03:00:00",36
"21445",21445,"2009-07-14 04:00:00",21
"21446",21446,"2009-07-14 05:00:00",24
"21447",21447,"2009-07-14 06:00:00",29
"21448",21448,"2009-07-14 07:00:00",47
"21449",21449,"2009-07-14 08:00:00",102
