"","X","t","n"
"19803",19803,"2009-05-06 18:00:00",60
"19804",19804,"2009-05-06 19:00:00",52
"19805",19805,"2009-05-06 20:00:00",77
"19806",19806,"2009-05-06 21:00:00",60
"19807",19807,"2009-05-06 22:00:00",31
"19808",19808,"2009-05-06 23:00:00",33
"19809",19809,"2009-05-07 00:00:00",96
"19810",19810,"2009-05-07 01:00:00",9
"19811",19811,"2009-05-07 02:00:00",12
"19812",19812,"2009-05-07 03:00:00",7
"19813",19813,"2009-05-07 04:00:00",10
"19814",19814,"2009-05-07 05:00:00",8
"19815",19815,"2009-05-07 06:00:00",18
"19816",19816,"2009-05-07 07:00:00",28
"19817",19817,"2009-05-07 08:00:00",41
"19818",19818,"2009-05-07 09:00:00",56
"19819",19819,"2009-05-07 10:00:00",47
"19820",19820,"2009-05-07 11:00:00",75
"19821",19821,"2009-05-07 12:00:00",73
"19822",19822,"2009-05-07 13:00:00",79
"19823",19823,"2009-05-07 14:00:00",66
"19824",19824,"2009-05-07 15:00:00",93
"19825",19825,"2009-05-07 16:00:00",63
"19826",19826,"2009-05-07 17:00:00",51
"19827",19827,"2009-05-07 18:00:00",57
"19828",19828,"2009-05-07 19:00:00",40
"19829",19829,"2009-05-07 20:00:00",51
"19830",19830,"2009-05-07 21:00:00",66
"19831",19831,"2009-05-07 22:00:00",46
"19832",19832,"2009-05-07 23:00:00",42
"19833",19833,"2009-05-08 00:00:00",66
"19834",19834,"2009-05-08 01:00:00",21
"19835",19835,"2009-05-08 02:00:00",8
"19836",19836,"2009-05-08 03:00:00",4
"19837",19837,"2009-05-08 04:00:00",1
"19838",19838,"2009-05-08 05:00:00",17
"19839",19839,"2009-05-08 06:00:00",16
"19840",19840,"2009-05-08 07:00:00",28
"19841",19841,"2009-05-08 08:00:00",54
"19842",19842,"2009-05-08 09:00:00",44
"19843",19843,"2009-05-08 10:00:00",60
"19844",19844,"2009-05-08 11:00:00",53
"19845",19845,"2009-05-08 12:00:00",68
"19846",19846,"2009-05-08 13:00:00",53
"19847",19847,"2009-05-08 14:00:00",51
"19848",19848,"2009-05-08 15:00:00",59
"19849",19849,"2009-05-08 16:00:00",8
"19850",19850,"2009-05-08 17:00:00",24
"19851",19851,"2009-05-08 18:00:00",25
"19852",19852,"2009-05-08 19:00:00",46
"19853",19853,"2009-05-08 20:00:00",48
"19854",19854,"2009-05-08 21:00:00",39
"19855",19855,"2009-05-08 22:00:00",41
"19856",19856,"2009-05-08 23:00:00",26
