"","X","t","n"
"19083",19083,"2009-04-06 18:00:00",32
"19084",19084,"2009-04-06 19:00:00",34
"19085",19085,"2009-04-06 20:00:00",21
"19086",19086,"2009-04-06 21:00:00",26
"19087",19087,"2009-04-06 22:00:00",36
"19088",19088,"2009-04-06 23:00:00",20
"19089",19089,"2009-04-07 00:00:00",52
"19090",19090,"2009-04-07 01:00:00",8
"19091",19091,"2009-04-07 02:00:00",7
"19092",19092,"2009-04-07 03:00:00",10
"19093",19093,"2009-04-07 04:00:00",7
"19094",19094,"2009-04-07 05:00:00",13
"19095",19095,"2009-04-07 06:00:00",8
"19096",19096,"2009-04-07 07:00:00",16
"19097",19097,"2009-04-07 08:00:00",30
"19098",19098,"2009-04-07 09:00:00",32
"19099",19099,"2009-04-07 10:00:00",31
"19100",19100,"2009-04-07 11:00:00",23
"19101",19101,"2009-04-07 12:00:00",35
"19102",19102,"2009-04-07 13:00:00",29
"19103",19103,"2009-04-07 14:00:00",37
"19104",19104,"2009-04-07 15:00:00",28
"19105",19105,"2009-04-07 16:00:00",33
"19106",19106,"2009-04-07 17:00:00",37
"19107",19107,"2009-04-07 18:00:00",24
"19108",19108,"2009-04-07 19:00:00",32
"19109",19109,"2009-04-07 20:00:00",32
"19110",19110,"2009-04-07 21:00:00",41
"19111",19111,"2009-04-07 22:00:00",19
"19112",19112,"2009-04-07 23:00:00",22
"19113",19113,"2009-04-08 00:00:00",55
"19114",19114,"2009-04-08 01:00:00",8
"19115",19115,"2009-04-08 02:00:00",3
"19116",19116,"2009-04-08 03:00:00",4
"19117",19117,"2009-04-08 04:00:00",6
"19118",19118,"2009-04-08 05:00:00",7
"19119",19119,"2009-04-08 06:00:00",9
"19120",19120,"2009-04-08 07:00:00",11
"19121",19121,"2009-04-08 08:00:00",20
"19122",19122,"2009-04-08 09:00:00",37
"19123",19123,"2009-04-08 10:00:00",26
"19124",19124,"2009-04-08 11:00:00",35
"19125",19125,"2009-04-08 12:00:00",36
"19126",19126,"2009-04-08 13:00:00",49
"19127",19127,"2009-04-08 14:00:00",35
"19128",19128,"2009-04-08 15:00:00",32
"19129",19129,"2009-04-08 16:00:00",22
"19130",19130,"2009-04-08 17:00:00",38
"19131",19131,"2009-04-08 18:00:00",32
"19132",19132,"2009-04-08 19:00:00",27
"19133",19133,"2009-04-08 20:00:00",30
"19134",19134,"2009-04-08 21:00:00",15
"19135",19135,"2009-04-08 22:00:00",23
"19136",19136,"2009-04-08 23:00:00",31
"19137",19137,"2009-04-09 00:00:00",51
"19138",19138,"2009-04-09 01:00:00",10
"19139",19139,"2009-04-09 02:00:00",5
"19140",19140,"2009-04-09 03:00:00",1
"19141",19141,"2009-04-09 04:00:00",3
"19142",19142,"2009-04-09 05:00:00",4
"19143",19143,"2009-04-09 06:00:00",9
"19144",19144,"2009-04-09 07:00:00",22
"19145",19145,"2009-04-09 08:00:00",25
"19146",19146,"2009-04-09 09:00:00",40
"19147",19147,"2009-04-09 10:00:00",38
"19148",19148,"2009-04-09 11:00:00",37
"19149",19149,"2009-04-09 12:00:00",49
"19150",19150,"2009-04-09 13:00:00",35
"19151",19151,"2009-04-09 14:00:00",40
"19152",19152,"2009-04-09 15:00:00",37
"19153",19153,"2009-04-09 16:00:00",27
"19154",19154,"2009-04-09 17:00:00",45
"19155",19155,"2009-04-09 18:00:00",24
"19156",19156,"2009-04-09 19:00:00",41
"19157",19157,"2009-04-09 20:00:00",20
"19158",19158,"2009-04-09 21:00:00",26
"19159",19159,"2009-04-09 22:00:00",38
"19160",19160,"2009-04-09 23:00:00",22
